frame,sample_id,timestamp_s,gt_state,ego_speed_kph,tcp_speed_0_0p6_kph,tcp_speed_0p6_1p0_kph,tcp_speed_1p0_1p6_kph,tcp_speed_1p6_2p0_kph,filtered_mpc_entry_speed_kph,ade_m,fde_2s_m,gt_accel,pred_accel,gt_steer,pred_steer
41,41,22.589472037,STOP,1.577762662918758e-06,0.054145142,0.08295337,0.010850061,0.0058987606,0.05222506364584758,0.0027650471311062574,0.00022580621589440852,-1.0,-0.9929393,-0.0,0.00092077255
42,42,23.089472037,STOP,8.074500817967234e-10,0.070112236,0.11275189,0.010475889,0.007105372,0.05848557521909988,0.003452553413808346,0.00021259582717902958,-1.0,-0.9918079,-0.0,0.00095689297
43,43,23.589472037,STOP,9.789905539037136e-06,0.05249645,0.08312325,0.010752282,0.00030707722,0.056389381269681814,0.0027590931858867407,0.00048628804506734014,-1.0,-0.99327016,-0.0,0.000910759
44,44,24.089472037,STOP,9.901164253278693e-06,0.048499532,0.07585802,0.0099909995,0.0043708645,0.05362793417105519,0.0025195672642439604,0.0003184372326359153,-1.0,-0.9923623,-0.0,0.00047063828
45,45,24.589472037,STOP,9.759585651636372e-07,0.058988743,0.09411736,0.015806837,0.0067347293,0.055504217357577275,0.0032268166542053223,0.0004411440168041736,-1.0,-0.99343646,-0.0,0.0009050369
46,46,25.089472037,STOP,9.600436055734464e-06,0.057335474,0.09225545,0.009032223,0.0026522656,0.056145158084473915,0.002860793611034751,0.0003036693960893899,-1.0,-0.9924044,-0.0,0.0009319782
47,47,25.589472037,STOP,1.225874135002414e-06,0.061756574,0.10436898,0.014750222,0.0049228226,0.0581091540425591,0.0033025038428604603,0.0004293456731829792,-1.0,-0.99265724,-0.0,0.0009301901
48,48,26.089472037,STOP,7.150218721108104e-07,0.05043259,0.07663422,0.010995859,0.0067347293,0.055422356765987675,0.0026226278860121965,0.0002496895322110504,-1.0,-0.99215084,-0.0,0.0004723072
49,49,26.589472037,STOP,1.206153231692042e-06,0.052650783,0.085618176,0.014033872,0.0065989457,0.05445230628250979,0.0028773583471775055,0.0003645879332907498,-1.0,-0.9928318,-0.0,0.0009225607
50,50,27.089472037,STOP,7.590006958935192e-07,0.050202042,0.08474018,0.015511367,0.007793956,0.05296471464886579,0.0028934869915246964,0.0006059389561414719,-1.0,-0.991938,-0.0,0.00047504902
51,51,27.589472037,STOP,5.407399430623627e-06,0.056484774,0.09462613,0.008897587,0.007880584,0.054196735336038505,0.00289102247916162,8.976159733720124e-05,-1.0,-0.9925147,-0.0,0.00046753883
52,52,28.089472037,STOP,3.285796185537038e-06,0.05123723,0.08937266,0.012210883,0.0043362086,0.05316090833904791,0.0027220826596021652,0.00025823700707405806,-1.0,-0.99197704,-0.0,0.00047457218
53,53,28.589472037,STOP,8.256038131548849e-06,0.044454012,0.072262414,0.008840884,0.003573197,0.05011349516506583,0.002405583392828703,0.0006714953342452645,-1.0,-0.9925548,-0.0,0.0009319782
54,54,29.089472037,STOP,7.847668371141481e-07,0.036318287,0.062066987,0.00819333,0.005418847,0.04528517226559057,0.002091731410473585,0.0005122085567563772,-1.0,-0.99219865,-0.0,0.0009406805
55,55,29.589472037,STOP,5.513581118066213e-06,0.03717593,0.06189526,0.009311862,0.0083545325,0.04244693861771015,0.0021462137810885906,0.00039651032420806587,-1.0,-0.9922661,-0.0,0.0009406805
56,56,30.089472037,STOP,9.20361883345322e-06,0.047009714,0.06997939,0.0015015764,0.00447322,0.0440439107655431,0.0023961600381881,0.0003299747477285564,-1.0,-0.9916606,-0.0,0.00047957897
57,57,30.589472037,STOP,8.041602814046201e-06,0.041156493,0.06735079,0.0048764185,0.004266053,0.04303331433140381,0.0022601569071412086,0.0004765925114043057,-1.0,-0.9914157,-0.0,0.00048422813
58,58,31.089472037,STOP,4.0690992335612465e-07,0.06585722,0.11239235,0.011515644,0.005220313,0.05102168016594692,0.0034311607014387846,0.0002200151066062972,-1.0,-0.9928348,-0.0,0.00092339516
59,59,31.589472037,STOP,5.169653991288214e-06,0.05159847,0.085405156,0.008541924,0.0046061585,0.051223557620498815,0.002650285605341196,0.00020026539277751,-1.0,-0.9926838,-0.0,0.0013908148
60,60,32.089472037,STOP,6.092732360230002e-06,0.068460196,0.11084009,0.010049554,0.007105372,0.057256382446998995,0.0034490462858229876,0.0003378904948476702,-1.0,-0.9925147,-0.0,0.00046658516
61,61,32.589472037,STOP,9.207977740288698e-07,0.054349095,0.088804826,0.008948313,0.007126574,0.05623883184118521,0.002786823082715273,0.0002798649074975401,-1.0,-0.99205333,-0.0,0.0009460449
62,62,33.089472037,STOP,2.9602405902551256e-06,0.055888046,0.08785063,0.00910616,0.0056904647,0.0561160567798738,0.0027535303961485624,0.00014008766447659582,-1.0,-0.992885,-0.0,0.00092077255
63,63,33.589472037,STOP,6.8465928734440245e-06,0.05277163,0.08491359,0.0120477965,0.003217724,0.05494550888951032,0.0027827138546854258,0.00032330528483726084,-1.0,-0.99297225,-0.0,0.00091826916
64,64,34.089472037,STOP,6.962805832699815e-06,0.058654726,0.09483964,0.008248388,0.003217724,0.05624373550355449,0.002823046874254942,1.528650136606302e-05,-1.0,-0.9916976,-0.0,0.00095689297
65,65,34.589472037,STOP,1.5300332201206857e-07,0.046029538,0.07740555,0.014794478,0.0076572523,0.05266876699990044,0.002630483126267791,0.0003098250599578023,-1.0,-0.9932927,-0.0,0.00090658665
66,66,35.089472037,STOP,6.218398903001799e-06,0.055367302,0.0868916,0.007899574,0.004010856,0.05361325417188711,0.0027731922455132008,0.0004078154161106795,-1.0,-0.99326044,-0.0,0.000910759
67,67,35.589472037,STOP,3.098165666415298e-06,0.046090685,0.074522175,0.0033576267,0.007861417,0.05098035581532259,0.0024508230853825808,0.00020027811115141958,-1.0,-0.9919583,-0.0,0.000952363
68,68,36.089472037,STOP,3.260339838107029e-07,0.055162247,0.092314795,0.009351384,0.010577908,0.05244401769419551,0.0028754936065524817,7.627846207469702e-05,-1.0,-0.99210817,-0.0,0.00047421455
69,69,36.589472037,STOP,8.429479680671648e-06,0.037499197,0.06344976,0.009426375,0.005418847,0.047213330260436,0.0021752193570137024,0.0005830413429066539,-1.0,-0.99246085,-0.0,0.00093460083
70,70,37.089472037,STOP,1.519245324743679e-06,0.034117244,0.057393875,0.00785915,0.0055290954,0.04262970078561521,0.001976926112547517,0.0005214905249886215,-1.0,-0.99272865,-0.0,0.00092852116
71,71,37.589472037,STOP,1.0029054988081044e-05,0.042165674,0.07174408,0.008910767,0.0036566698,0.04246729124409935,0.0023272940889000893,0.0004982523387297988,-1.0,-0.9924138,-0.0,0.00093376637
72,72,38.089472037,STOP,2.0326998708242175e-06,0.05111144,0.08788969,0.013455761,0.011127048,0.04549274356524087,0.002782398834824562,9.91842825897038e-05,-1.0,-0.9929271,-0.0,0.00091576576
73,73,38.589472037,STOP,2.6456899263394006e-06,0.047619127,0.07671401,0.010371352,0.009399774,0.0462369779361681,0.002465044381096959,0.0001230215566465631,-1.0,-0.9922284,-0.0,0.00093984604
74,74,39.089472037,STOP,5.797474705104833e-06,0.047727432,0.07447151,0.0051862826,0.004266053,0.04675863676381184,0.0023999460972845554,0.0005526977474801242,-1.0,-0.9928041,-0.0,0.0009276867
75,75,39.589472037,STOP,6.334950739983469e-06,0.047096647,0.080564916,0.010629978,0.0055290954,0.046876941371936084,0.00254185707308352,0.0003674806794151664,-1.0,-0.992208,-0.0,0.00093460083
76,76,40.089472037,STOP,1.3270121769437538e-06,0.059305042,0.09572637,0.011557784,0.0046061585,0.05122677686247827,0.003100999863818288,0.0004028435214422643,-1.0,-0.9924832,-0.0,0.00046527386
77,77,40.589472037,STOP,6.41482458831888e-06,0.05224421,0.085486814,0.007384055,0.0028177574,0.05158287893689514,0.002663378370925784,0.00037879010778851807,-1.0,-0.99238354,-0.0,0.00047016144
78,78,41.089472037,STOP,7.801986640743053e-07,0.042987783,0.0720529,0.009994355,0.0053628725,0.048574595708369674,0.0023523825220763683,0.00042313916492275894,-1.0,-0.9926742,-0.0,0.0009293556
79,79,41.589472037,STOP,6.017344344400044e-06,0.050073653,0.08553754,0.011951402,0.0031704886,0.04909926605166759,0.0027539830189198256,0.00038609548937529325,-1.0,-0.99280584,-0.0,0.000921607
80,80,42.089472037,STOP,5.0052697474711754e-06,0.047078136,0.07364237,0.005326607,0.0012661119,0.04839187052733846,0.002300066174939275,0.00034937288728542626,-1.0,-0.9934898,-0.0,0.00090658665
81,81,42.589472037,STOP,2.2448692504895007e-06,0.05224421,0.07787339,0.007458599,0.004010856,0.049740189819054266,0.002525049727410078,0.0001241975260199979,-1.0,-0.9927411,-0.0,0.00092852116
82,82,43.089472037,STOP,2.0864799807895906e-06,0.05133137,0.08167122,0.012880333,0.008760047,0.05029710351728966,0.002713635331019759,0.00015028155758045614,-1.0,-0.99232376,-0.0,0.00047016144
83,83,43.589472037,STOP,5.539190942727146e-06,0.043152813,0.071222454,0.0040293606,0.0058987606,0.047796602050933445,0.002256401814520359,0.00030056326068006456,-1.0,-0.9935186,-0.0,0.00090420246
84,84,44.089472037,STOP,1.124466893998033e-06,0.035174005,0.06428439,0.009606059,0.006460309,0.04337869351139424,0.0021043100859969854,0.00041198721737600863,-1.0,-0.99175966,-0.0,0.00047779083
85,85,44.589472037,STOP,1.7526909459775197e-06,0.045013137,0.07836969,0.00962001,0.0049228226,0.0439507486586272,0.0025357974227517843,0.0004648298490792513,-1.0,-0.99239147,-0.0,0.00047063828
86,86,45.089472037,STOP,1.3535569848954765e-06,0.055587284,0.09352203,0.010424556,0.009831267,0.04802353690385069,0.002885220805183053,0.00012302029062993824,-1.0,-0.99160194,-0.0,0.00047910213
87,87,45.589472037,STOP,9.379167931911071e-06,0.049975798,0.081376426,0.0037714834,0.0022856116,0.0487068290370952,0.0024650415871292353,0.0003399149572942406,-1.0,-0.99209183,-0.0,0.00094783306
88,88,46.089472037,STOP,7.227539322229859e-06,0.039566565,0.070138074,0.009174479,0.005911535,0.0455077369916303,0.0023272172547876835,0.00045084490557201207,-1.0,-0.99290013,-0.0,0.00092339516
89,89,46.589472037,STOP,3.81640626301305e-06,0.04669629,0.075942,0.0059537436,0.0046469215,0.0459237305450053,0.0024234054144471884,0.00035589304752647877,-1.0,-0.9932692,-0.0,0.00045728683
90,90,47.089472037,STOP,5.2556736818587526e-06,0.03713623,0.06176727,0.0062825456,0.008656093,0.04284810530969969,0.0021273973397910595,0.0004885196103714406,-1.0,-0.992012,-0.0,0.00047194958
91,91,47.589472037,STOP,1.2895395138912136e-05,0.051217593,0.08349169,0.0061449544,0.005716917,0.04577742700243151,0.002600103383883834,0.00031121945357881486,-1.0,-0.99207544,-0.0,0.00047373772
