frame,sample_id,timestamp_s,gt_state,ego_speed_kph,tcp_speed_0_0p6_kph,tcp_speed_0p6_1p0_kph,tcp_speed_1p0_1p6_kph,tcp_speed_1p6_2p0_kph,filtered_mpc_entry_speed_kph,ade_m,fde_2s_m,gt_accel,pred_accel,gt_steer,pred_steer
50,50,27.080551679,DRIVE,43.05250854492188,43.19537,44.231155,45.26178,45.925297,41.80416561977716,0.15588170289993286,0.22985434532165527,0.18734337,0.27894843,0.013567242,0.018640399
51,51,27.580551679,DRIVE,43.63946170806885,43.811695,44.572155,44.91891,45.977596,42.50680080394768,0.20014193654060364,0.3021756708621979,0.16972226,0.11986828,0.046109438,0.053011894
52,52,28.080551679,DRIVE,44.22792892456055,44.048183,45.204674,45.51769,46.235497,43.04628552805915,0.16538989543914795,0.28194209933280945,0.15355039,0.13662994,0.055022698,0.0299052
53,53,28.580551679,DRIVE,44.71515026092529,44.603287,45.942326,46.652615,47.19315,43.59123608686028,0.24923622608184814,0.3326457440853119,0.14321616,0.21977556,0.05222348,0.017032862
54,54,29.080551679,DRIVE,45.12713756561279,44.859882,45.92546,46.391758,46.692673,44.03526254764571,0.15197929739952087,0.09436564147472382,0.12991267,0.16802275,0.019961042,0.008250356
55,55,29.580551679,DRIVE,45.478125,46.078205,47.05484,47.5017,47.193783,44.75029244399461,0.15577572584152222,0.2713039517402649,0.12254427,0.19262135,0.018084828,0.013848543
56,56,30.080551679,DRIVE,45.80259075164795,46.453693,47.208805,47.759205,47.237507,45.3464829085733,0.17996889352798462,0.39438676834106445,0.11428401,0.0820905,0.022454575,-0.0034343004
57,57,30.580551679,DRIVE,46.07008380889893,46.476814,46.90817,47.112324,46.11192,45.7420996861659,0.31744715571403503,0.8333691358566284,0.10485173,0.08573055,0.036711074,-0.007266879
58,58,31.080551679,DRIVE,46.35578670501709,46.43052,47.355473,47.72174,47.53198,45.98304661592361,0.3035814166069031,0.6836947202682495,0.09773209,0.046901464,0.021683374,-0.0054281354
59,59,31.580551679,DRIVE,46.62237339019776,46.4499,46.969746,47.230724,46.51519,46.14644652120606,0.11774233728647232,0.0977054163813591,0.08996675,0.09890163,-0.011943483,-0.012131691
60,60,32.080551679,DRIVE,46.7945634841919,46.757484,46.989193,47.581467,46.865532,46.360310458968264,0.09096378833055496,0.08551231026649475,0.08539445,0.03928113,-0.01993976,-0.007907569
61,61,32.580551679,DRIVE,46.97808322906494,47.060802,47.30013,47.72367,47.813995,46.60548359383108,0.12397176027297974,0.1340961456298828,0.080831595,0.14480484,-0.0104598785,-0.022110283
62,62,33.080551679,DRIVE,47.13518943786621,47.20792,47.743015,48.09396,47.672054,46.81633716313864,0.15105783939361572,0.10765000432729721,0.07639279,0.16968262,0.009090848,-0.00029611588
63,63,33.580551679,DRIVE,47.27272624969483,47.30589,47.74415,48.187782,47.813637,46.987680484928056,0.19053691625595093,0.3909876048564911,0.07352695,0.12729704,0.0069253007,-0.008368015
64,64,34.080551679,DRIVE,47.40091094970703,48.430485,50.13838,52.417656,52.741776,47.49266185179381,0.32331714034080505,0.5022228360176086,0.06951294,0.27564383,0.0072068893,0.0070790052
65,65,34.580551679,DRIVE,47.677096939086915,49.14556,50.652935,53.102676,53.19319,48.071177564658406,0.12144582718610764,0.1048109233379364,0.2675337,0.33082092,-0.0027204829,-0.0012062192
66,66,35.080551679,DRIVE,49.532538414001465,51.03008,52.76265,55.250275,55.29206,49.106793294835576,0.15809178352355957,0.18624678254127502,0.5655249,0.29245448,-0.007795268,-0.0018358231
67,67,35.580551679,DRIVE,51.8719259262085,52.81522,54.513954,56.973022,57.106632,50.404742866374576,0.11260004341602325,0.10896728932857513,0.49817768,0.31269777,-0.009078169,0.0009737015
68,68,36.080551679,DRIVE,53.795345306396484,54.480663,55.487095,56.677032,55.97284,51.83131581907609,0.06901142001152039,0.10743555426597595,0.37898526,0.26722682,3.5779507e-05,0.0023993254
69,69,36.580551679,DRIVE,55.17364368438721,55.597416,55.266933,54.937714,53.71879,53.14945072231035,0.34671488404273987,0.39974498748779297,0.25437397,0.20627141,0.008895515,0.010043025
70,70,37.080551679,DRIVE,55.85374202728271,55.878048,55.687706,55.312687,54.421947,54.104459616077655,0.14992362260818481,0.18779437243938446,0.14315736,0.11584461,0.009973145,0.008287311
71,71,37.580551679,DRIVE,56.09095401763916,55.838684,55.063667,54.285595,52.464405,54.71143871321903,0.15919193625450134,0.16970455646514893,0.0466327,0.06242037,0.0036563682,-0.0014584064
72,72,38.080551679,DRIVE,55.782586669921876,54.344704,53.806507,53.269344,52.05776,54.58308238420395,0.09060215204954147,0.05963895469903946,0.0,0.07482576,-0.0032117185,-0.0017021298
73,73,38.580551679,DRIVE,54.60340175628662,53.6404,52.8107,52.6435,50.771057,54.25314365974844,0.28756266832351685,0.37179097533226013,-0.059845954,0.012298703,-0.00563256,0.0011481047
74,74,39.080551679,DRIVE,53.044225502014164,52.74465,51.474075,50.769104,49.50914,53.725172307974674,0.1802915632724762,0.28632840514183044,-0.033758357,0.09594262,-0.003489303,0.005627036
75,75,39.580551679,DRIVE,51.85849514007568,53.82888,49.50473,50.347157,46.13468,53.761470375732856,0.29689139127731323,0.16621746122837067,0.0,0.022295475,0.0012662647,-0.00044071674
76,76,40.080551679,DRIVE,51.16118602752686,50.27111,49.377483,49.414093,48.52236,52.53984536596098,0.1839854121208191,0.42564138770103455,0.0,0.0056518316,-0.00061230187,-0.00046145916
77,77,40.580551679,DRIVE,50.48646411895752,50.312683,49.659134,49.65265,48.94849,51.76033844127429,0.26494932174682617,0.3427540957927704,0.0,0.065575,-0.0012779727,-0.0065702796
78,78,41.080551679,DRIVE,49.83256301879883,49.624218,49.24524,49.235775,48.81283,51.012696148785075,0.13804450631141663,0.12596505880355835,0.0012268412,0.09517121,-0.00839095,-0.0043541193
79,79,41.580551679,DRIVE,49.58144130706787,49.705353,49.662743,49.792667,49.51059,50.55512677191783,0.11656562983989716,0.11897420138120651,0.012387722,0.045921445,-0.00953616,-0.020739377
80,80,42.080551679,DRIVE,49.40908641815186,49.642143,50.555725,51.4692,51.1877,50.23558347367651,0.228648379445076,0.12128206342458725,0.017488683,0.20884085,0.01102208,-0.0047897696
81,81,42.580551679,DRIVE,49.25986461639405,49.83066,50.906513,52.265656,52.171883,50.09386181327914,0.13515448570251465,0.11379969120025635,0.120202884,0.22249174,0.012808542,0.002423644
82,82,43.080551679,DRIVE,50.302990722656254,50.956806,51.96451,52.97124,52.73833,50.395892876690525,0.15856625139713287,0.1397446244955063,0.37000358,0.27293408,0.010281579,-0.00048613548
83,83,43.580551679,DRIVE,51.71063289642334,51.807194,52.32856,52.740307,52.45796,50.88984831799948,0.2905240058898926,0.4327552616596222,0.27495238,0.19627452,-0.0024964646,-0.010879397
84,84,44.080551679,DRIVE,52.37642498016358,51.900654,51.980476,51.472874,50.91129,51.24363011687422,0.23279500007629395,0.2869233787059784,0.13465159,0.128402,-0.007342768,-0.009735763
85,85,44.580551679,DRIVE,52.616484832763675,52.03665,51.12542,49.4544,48.37755,51.52118844101951,0.15068592131137848,0.09859412908554077,0.031030409,0.050514817,-0.00040111854,-0.0029301047
86,86,45.080551679,DRIVE,52.200130462646484,51.239758,48.66113,44.771503,43.05171,51.42268749139291,0.5447851419448853,0.8899732232093811,0.0,0.024491787,0.0077261166,0.0
87,87,45.580551679,DRIVE,51.119997596740724,49.69241,46.127487,41.06772,39.253193,50.817091000875116,0.4792053699493408,0.6945488452911377,-0.07085449,-0.023931205,0.014642192,0.0013818741
88,88,46.080551679,DRIVE,48.57502326965332,46.94448,42.88571,38.863472,34.631046,49.46167853228269,0.476852685213089,0.6301825046539307,-0.1271805,-0.10331237,0.004346532,-0.011711717
89,89,46.580551679,DRIVE,45.61750545501709,42.800713,37.101696,33.44504,29.687056,47.13034031737657,0.20179884135723114,0.0051102968864142895,-0.15788016,-0.23705322,-0.03566737,-0.04831624
90,90,47.080551679,DRIVE,41.748700046539305,37.88137,31.809597,27.736574,25.400068,43.893201030360935,0.35493233799934387,0.7158425450325012,-0.18269801,-0.16916907,-0.11248098,-0.1693607
91,91,47.580551679,DRIVE,36.87588415145874,32.46325,28.62928,26.17402,25.027794,39.89271829256786,0.46404552459716797,0.7624533772468567,-0.17427768,-0.09234935,-0.2232606,-0.34649688
92,92,48.080551679,DRIVE,31.670069217681885,28.546328,27.47886,26.625866,26.312286,35.921481480241745,0.08711767196655273,0.15669310092926025,-0.1520871,-0.06801164,-0.32984763,-0.42189163
93,93,48.580551679,DRIVE,27.947506427764893,26.815525,26.802774,26.283815,26.803825,32.734396998412016,0.05952787399291992,0.06985697895288467,0.043234687,0.06070137,-0.3397754,-0.3151222
94,94,49.080551679,DRIVE,27.188054180145265,26.07678,26.310215,26.354422,26.44283,30.404231427721474,0.19129317998886108,0.3498372733592987,0.0021046263,0.023614645,-0.31550664,-0.16180128
95,95,49.580551679,DRIVE,26.27162961959839,25.7863,26.389488,26.905075,26.673565,28.78795572548905,0.1437862664461136,0.12812019884586334,0.08655207,0.13525605,-0.23135123,-0.22209829
96,96,50.080551679,DRIVE,26.630795001983643,26.868637,27.174816,27.758095,27.249342,28.116194468333017,0.17964529991149902,0.3193703591823578,0.13540302,0.15041018,-0.18422747,-0.25155455
